OPERADOR	LÍNEA	NIVEL DE TENSIÓN (kV)	LONGITUD (km)	CAPACIDAD TRANSPORTE NOMINAL (A)	CAPACIDAD TRANSPORTE TÉRMICO (A)	CAPACIDAD TRANSPORTE EMERGENCIA (A)	R1 (Ω/km)	X1 (Ω/km)	B1 (uS/km)	R0 (Ω/km)	X0 (Ω/km)	B0 (uS/km)	CLASE	CONDUCTOR TIPO	CONDUCTOR CALIBRE	FECHA DE ENTRADA	OBSERVACIONES	ACTIVO COMPARTIDO	ACUERDO
ENEL COLOMBIA SA ESP	LA PAZ (BOGOTA)  SALITRE 1 115 kV	115.0	3.81	854	900	930	0.0954	0.4608	3.5838	0.3055	1.3146	1.8904	Str		0.00	01/01/1954		No	
ENEL COLOMBIA SA ESP	LA PAZ (BOGOTA)  VERAGUAS 1 115 kV	115.0	6.18	800	813	920	0.0958	0.4710	3.5058	0.4965	1.4745	1.9442	Str		0.00	01/01/1954		No	
ENEL COLOMBIA SA ESP	LAGUNETA  NUEVA ESPERANZA 1 115 kV	115.0	8.43	800	800	920	0.0951	0.4698	3.5286	0.4452	1.4007	1.9134	Str		0.00	01/07/2017		No	
ENEL COLOMBIA SA ESP	LAGUNETA  SALTO II (COLEGIO) 1 115 kV	115.0	3.45	800	813	920	0.0958	0.4715	3.5068	0.4968	1.4774	1.9725	Str		0.00	01/01/1954		No	
ENEL COLOMBIA SA ESP	MAMBITA  SANTA MARIA 1 115 kV	115.0	13.35	300	489	345	0.2140	0.5218	3.1435	0.5008	1.5001	2.0277	Str		0.00	01/01/1990		No	
ENEL COLOMBIA SA ESP	MORATO  SALITRE 1 115 kV	115.0	5.92	800	813	920	0.0957	0.4703	3.5116	0.2739	1.1311	1.9737	Str		0.00	01/01/1957		No	
ENEL COLOMBIA SA ESP	MORATO  USAQUEN 1 115 kV	115.0	5.33	800	813	920	0.0951	0.4642	3.5458	0.4212	1.5524	2.1218	Str		0.00	01/01/1982		No	
ENEL COLOMBIA SA ESP	MOSQUERA  NOROESTE 1 115 KV	115.0	12.81	800	813	920	0.0954	0.4681	3.5154	0.4435	1.5963	1.9278	Str		0.00	25/01/2018		No	
ENEL COLOMBIA SA ESP	MUZU  SAN CARLOS (BOGOTA) 1 115 kV	115.0	2.73	800	813	920	0.0953	0.4638	3.5583	0.3146	1.2632	2.1128	Str		0.00	01/01/1973		No	
ENEL COLOMBIA SA ESP	MUZU  TUNAL 1 115 kV	115.0	3.97	854	900	930	0.0956	0.4607	3.5807	0.4201	1.5623	1.8856	Str		0.00	01/01/1985		No	
ENEL COLOMBIA SA ESP	MUZU  TUNAL 2 115 kV	115.0	3.91	854	900	930	0.0956	0.4607	3.5807	0.4201	1.5623	1.8856	Str		0.00	01/01/2001		No	
ENEL COLOMBIA SA ESP	MUZU  VERAGUAS 1 115 kV	115.0	3.09	800	813	920	0.0951	0.4646	3.5612	0.3153	1.2632	2.0977	Str		0.00	01/01/1973		No	
ENEL COLOMBIA SA ESP	MUÑA  NUEVA ESPERANZA 1 115 kV	115.0	7.94	1200	1200	1380	0.0494	0.4322	3.8951	0.3020	1.1881	2.2665	Str		0.00	01/07/2017		No	
ENEL COLOMBIA SA ESP	MUÑA  SAN CARLOS (BOGOTA) 1 115 kV	115.0	23.27	800	813	920	0.0950	0.4765	3.4957	0.4758	1.6677	1.7479	Str		0.00	01/01/2001		No	
ENEL COLOMBIA SA ESP	MUÑA II  TMUÑA II 1 57.5 KV	57.5	7.19	400	489	460	0.2156	0.4613	3.6214	0.6051	1.7289	2.3314	Str		0.00	04/02/2018		No	
ENEL COLOMBIA SA ESP	MUÑA III  MUÑA 1 115 kV	115.0	2.27	800	813	920	0.0953	0.4601	3.5721	0.4040	1.5779	1.8773	Str		0.00	01/01/1962		No	
ENEL COLOMBIA SA ESP	MUÑA III  SALTO II (COLEGIO) 1 115 kV	115.0	8.63	800	813	920	0.0951	0.4757	3.5667	0.4540	1.3418	1.9617	Str		0.00	01/01/1962		No	
ENEL COLOMBIA SA ESP	NOROESTE  PORTUGAL 1 115 KV	115.0	10.37	800	813	920	0.0954	0.4582	3.6059	0.4352	1.5495	2.1842	Str		0.00	02/11/2020		No	
ENEL COLOMBIA SA ESP	NOROESTE  TENJO 1 115 kV	115.0	15.99	800	813	1000	0.0955	0.4610	3.5817	0.4029	1.5814	1.9093	Str		0.00	01/01/1992		No	
ENEL COLOMBIA SA ESP	NOROESTE  TERMINAL 1 115 kV	115.0	23.68	800	820	920	0.0955	0.4548	3.6528	0.4178	1.4691	2.0503	Str		0.00	29/08/2022		No	
ENEL COLOMBIA SA ESP	NUEVA ESPERANZA  RIO (BOGOTA) 1 115 kV	115.0	7.83	800	813	920	0.0940	0.4590	3.6350	0.3300	1.2570	2.1490	Str		0.00	11/12/2022		No	
ENEL COLOMBIA SA ESP	PORTUGAL  TIBABUYES 1 115 KV	115.0	4.91	800	813	920	0.0954	0.4582	3.6059	0.4352	1.5495	2.1842	Str		0.00	02/11/2020		No	
ENEL COLOMBIA SA ESP	RIO (BOGOTA)  TECHO 1 115 kV	115.0	19.06	800	813	920	0.0940	0.4590	3.6350	0.3300	1.2570	2.1490	Str		0.00	11/12/2022		No	
ENEL COLOMBIA SA ESP	SALITRE  SAN FACON 1 57.5 kV	57.5	10.69	600	813	690	0.0955	0.4607	3.5660	0.4321	1.6307	1.8478	Str		0.00	09/03/2009		No	
ENEL COLOMBIA SA ESP	SALTO I (BOGOTA)  SALTO II (COLEGIO) 1 115 kV	115.0	0.21	400	813	460	0.0931	0.4470	3.5500	0.4408	1.5771	1.7750	Str		0.00	01/01/2001		No	
ENEL COLOMBIA SA ESP	SAN CARLOS (BOGOTA)  VICTORIA (BOGOTA) 1 115 kV	115.0	3.73	800	813	920	0.0971	0.4985	3.3043	0.2858	0.9857	2.2705	Str		0.00	01/01/1970		No	
ENEL COLOMBIA SA ESP	SAN CARLOS (BOGOTA)  VICTORIA (BOGOTA) 2 115 kV	115.0	4.75	800	813	920	0.0971	0.4985	3.3043	0.2858	0.9857	2.2705	Str		0.00	12/09/2006		No	
ENEL COLOMBIA SA ESP	SAN JOSE  VERAGUAS 1 115 kV	115.0	3.32	800	820	920	0.0955	0.4680	3.5927	0.3265	1.3227	2.1100	Str		0.00	31/12/2021		No	
ENEL COLOMBIA SA ESP	SAUCES  MUÑA 1 115 kV	115.0	25.69	200	350	355	0.2110	0.2902	0.0000	0.0000	0.0000	0.0000	Str		0.00	01/01/2001		No	
ENEL COLOMBIA SA ESP	SESQUILE  TERMOZIPA 1 115 kV	115.0	19.30	400	489	460	0.0952	0.4755	3.4550	0.4031	1.5528	1.8724	Str		0.00	01/01/1984		No	
ENEL COLOMBIA SA ESP	SIMIJACA  UBATE 1 115 kV	115.0	27.20	562	562	646	0.1697	0.4962	3.2979	0.4840	1.5649	1.7976	Str		0.00	17/02/1998		No	
ENEL COLOMBIA SA ESP	SUBA  MORATO 1 115 kV	115.0	9.48	800	813	920	0.0956	0.4699	3.5110	0.2737	1.1303	1.2209	Str		0.00	22/01/2006		No	
ENEL COLOMBIA SA ESP	TECHO  TERMINAL 1 115 kV	115.0	4.82	800	820	920	0.0955	0.4548	3.6528	0.4178	1.4691	2.0503	Str		0.00	29/08/2022		No	
ENEL COLOMBIA SA ESP	TERMOZIPA  GRAN SABANA 1 115 kV	115.0	2.34	562	646	646	0.0952	0.4475	3.7036	0.3952	1.3882	2.0187	Str		0.00	24/06/2018		No	
ENEL COLOMBIA SA ESP	TINDUMIL  TMUÑA II 1 57.5 kV	57.5	17.71	400	440	460	0.2152	0.4597	3.6100	0.4959	1.8235	1.8711	Uso		0.00	18/12/2011		No	
ENEL COLOMBIA SA ESP	TINDUMIL  VERAGUAS 1 57.5 kV	57.5	2.88	800	880	920	0.0946	0.4578	3.6091	0.3419	1.2180	2.0682	Str		0.00	18/12/2011		No	
ENEL COLOMBIA SA ESP	TPELDAR  PELDAR 1 115 kV	115.0	2.43	400	562	460	0.1703	0.4724	3.4808	0.5555	1.6617	2.2687	Str		0.00	01/01/2001		No	
ENEL COLOMBIA SA ESP	TPELDAR  UBATE 1 115 kV	115.0	30.57	562	562	646	0.1704	0.4714	3.5001	0.5995	1.3267	2.3276	Str		0.00	01/01/2001		No	
ENEL COLOMBIA SA ESP	TPELDAR  ZIPAQUIRA 1 115 kV	115.0	8.62	562	562	646	0.1702	0.4815	3.4147	0.4799	1.5990	1.8434	Str		0.00	01/01/1990		No	
ENEL COLOMBIA SA ESP	TUNAL  VERAGUAS 1 115 kV	115.0	8.14	800	800	920	0.0940	0.4642	3.4592	0.4735	1.4057	1.9197	Str		0.00	01/07/2017		No	
GRUPO ENERGIA BOGOTA SA ESP	ALFEREZ (EEB)  TESALIA 1 230 kV	230.0	200.78	1040	1040	1040	0.0501	0.4956	3.3744	0.3849	1.3291	2.1303	Uso		0.00	13/12/2022		No	
GRUPO ENERGIA BOGOTA SA ESP	ALFEREZ (EEB)  TESALIA 2 230 kV	230.0	200.78	1040	1040	1040	0.0501	0.4956	3.3744	0.3849	1.3291	2.1303	Uso		0.00	13/12/2022		No	
GRUPO ENERGIA BOGOTA SA ESP	ALTAMIRA  RENACER 1 230 kV	230.0	144.52	1040	1383	1798	0.0471	0.3594	4.6335	0.3187	1.3721	2.4890	Uso		0.00	27/11/2007		No	
GRUPO ENERGIA BOGOTA SA ESP	ALTAMIRA  TESALIA 1 230 kV	230.0	49.70	1040	1414	1414	0.0503	0.3737	4.3884	0.4177	1.4931	2.6248	Uso		0.00	17/12/2014		No	
GRUPO ENERGIA BOGOTA SA ESP	ARMENIA  LA HERMOSA 1 230 kV	230.0	38.75	1000	1015	1320	0.0531	0.3624	4.6032	0.4721	1.1991	2.5897	Uso		0.00	27/06/2019		No	
GRUPO ENERGIA BOGOTA SA ESP	ARMENIA  LA VIRGINIA 1 230 kV	230.0	64.99	1000	1015	1320	0.0608	0.4153	6.6756	0.5019	1.3552	3.9857	Uso		0.00	27/06/2019		No	
GRUPO ENERGIA BOGOTA SA ESP	BETANIA  ALTAMIRA 1 230 kV	230.0	82.59	1040	1381	1795	0.0478	0.3586	4.7210	0.4193	1.5655	2.7675	Uso		0.00	27/11/2007		No	
GRUPO ENERGIA BOGOTA SA ESP	BETANIA  TESALIA 1 230 kV	230.0	35.74	1040	1795	1381	0.0679	0.3585	4.7452	0.4222	1.5497	2.7818	Uso		0.00	17/12/2014		No	
GRUPO ENERGIA BOGOTA SA ESP	BOLIVAR  CARTAGENA 2 220 kV	220.0	20.00	1000	1000	1028	0.0506	0.2935	1.8130	0.3483	0.8953	1.7270	Uso	AAAC	600 kcmil	03/08/2018		No	
GRUPO ENERGIA BOGOTA SA ESP	CIRCO  GUAVIO 1 230 kV	230.0	109.32	960	1410	960	0.0367	0.3983	4.2981	0.2884	0.9230	3.3480	Uso		0.00	01/01/1983		No	
GRUPO ENERGIA BOGOTA SA ESP	CIRCO  GUAVIO 2 230 kV	230.0	109.85	960	1410	960	0.0366	0.3986	4.2958	0.2885	0.9240	3.3445	Uso		0.00	01/01/1983		No	
GRUPO ENERGIA BOGOTA SA ESP	CIRCO  TUNAL 1 230 kV	230.0	29.74	960	1410	960	0.0444	0.4803	3.4763	0.3719	1.3326	2.2464	Uso		0.00	01/01/1983		No	
GRUPO ENERGIA BOGOTA SA ESP	CIRCO  NUEVA ESPERANZA 1 230 kV	230.0	46.16	960	1410	960	0.0441	0.4763	3.4443	0.3661	1.3024	2.1844	Uso		0.00	30/05/2016		No	
GRUPO ENERGIA BOGOTA SA ESP	GUAVIO  LA REFORMA 1 230 kV	230.0	81.13	1440	1620	1440	0.0346	0.4013	4.1507	0.3169	0.9334	2.6383	Uso		0.00	01/01/1994		No	
GRUPO ENERGIA BOGOTA SA ESP	GUAVIO  SURIA (DELSUR) 1 230 KV	230.0	94.82	1440	1620	1440	0.0330	0.3980	4.2290	0.2390	0.9390	2.7840	Uso		0.00	13/06/2021		No	
GRUPO ENERGIA BOGOTA SA ESP	JAMONDINO  PIMAMPIRO 3 230 KV	230.0	132.03	1118	1118	1229.8	0.0490	0.4931	3.4005	0.3055	1.4685	2.2351	Uso		0.00	11/07/2021		No	
GRUPO ENERGIA BOGOTA SA ESP	JAMONDINO  PIMAMPIRO 4 230 KV	230.0	132.03	1118	1118	1229.8	0.0490	0.4931	3.4005	0.3055	1.4685	2.2351	Uso		0.00	11/07/2021		No	
GRUPO ENERGIA BOGOTA SA ESP	JAMONDINO  TESALIA 1 230 kV	230.0	263.12	1040	1795	1381	0.0509	0.3646	4.7057	0.4254	1.5643	2.7729	Uso		0.00	17/12/2014		No	
GRUPO ENERGIA BOGOTA SA ESP	LA GUACA  LA MESA 1 230 kV	230.0	4.71	1120	1120	1200	0.0445	0.4801	3.4793	0.3678	1.3358	2.2314	Uso		0.00	01/01/1983		No	
GRUPO ENERGIA BOGOTA SA ESP	LA GUACA  LA MESA 2 230 kV	230.0	4.71	1120	1120	1200	0.0445	0.4801	3.4793	0.3678	1.3358	2.2314	Uso		0.00	01/01/1983		No	
GRUPO ENERGIA BOGOTA SA ESP	LA GUACA  PARAISO 1 230 kV	230.0	7.64	960	1410	960	0.0445	0.4801	3.4766	0.3743	1.3294	2.2590	Uso		0.00	01/01/1983		No	
GRUPO ENERGIA BOGOTA SA ESP	LA GUACA  PARAISO 2 230 kV	230.0	7.66	960	1410	960	0.0445	0.4801	3.4766	0.3743	1.3294	2.2590	Uso		0.00	01/01/1983		No	
GRUPO ENERGIA BOGOTA SA ESP	LA REFORMA  TUNAL 1 230 kV	230.0	74.95	960	1620	960	0.0341	0.3920	4.2998	0.3086	0.9254	2.6101	Uso	ACSR	954	09/11/1997		No	
GRUPO ENERGIA BOGOTA SA ESP	LA REFORMA  TUNAL 2 230 kV	230.0	75.06	960	1620	960	0.0341	0.3920	4.2992	0.3086	0.9254	2.6105	Uso	ACSR	954	24/11/2015		No	
GRUPO ENERGIA BOGOTA SA ESP	MOCOA (JUNIN)  JAMONDINO 1 230 kV	230.0	75.16	690	690	903	0.0876	0.5169	3.5000	0.5387	1.4049	2.2510	Uso		0.00	06/12/2007		No	
GRUPO ENERGIA BOGOTA SA ESP	NUEVA ESPERANZA  PARAISO 1 230 kV	230.0	15.57	960	1410	1120	0.0434	0.4700	3.3767	0.3539	1.2650	2.1342	Uso		0.00	30/05/2016		No	
GRUPO ENERGIA BOGOTA SA ESP	NUEVA ESPERANZA  PARAISO 2 230 kV	230.0	15.57	960	1410	1120	0.0434	0.4700	3.3767	0.3539	1.2650	2.1342	Uso		0.00	30/05/2016		No	
GRUPO ENERGIA BOGOTA SA ESP	NUEVA ESPERANZA  SAN MATEO (BOGOTA) 1 230 kV	230.0	29.41	960	1410	960	0.0440	0.4758	3.4343	0.3636	1.2957	2.1701	Uso		0.00	30/05/2016		No	
GRUPO ENERGIA BOGOTA SA ESP	SAN MATEO (BOGOTA)  TUNAL 1 230 kV	230.0	14.96	960	1410	960	0.0444	0.4803	3.5522	0.3706	1.3327	2.3034	Uso		0.00	01/01/1983		No	
HIDROELECTRICA DEL ALTO PORCE S.A.S. E.S.P.	CARLOS LLERAS  GIRARDOTA 1 110 kV	110.0	33.45	401.64	500	500	0.1235	0.4790	3.4793	0.4367	1.4318	1.9612	Str		0.00	16/09/2015		No	
HIDROELECTRICA DEL ALTO PORCE S.A.S. E.S.P.	ESCUELA DE MINAS  RIONEGRO 1 110 kV	110.0	16.87	335	480	335	0.2070	0.5010	1.7920	0.6430	1.7650	1.2150	Cnx		0.00	30/09/2019		No	
HIDROENERGIA DE LA MONTAÑA S.A.S E.S.P	LA CHORRERA  YARUMAL II 1 110 kV	110.0	38.00	87.5	87.5	113.75	0.1180	0.4855	3.4084	0.2924	1.8615	1.8732	Cnx		0.00	31/05/2022		No	
INGENIO PROVIDENCIA S.A.	CERRITO  PROVIDENCIA 1 115 kV	115.0	8.90	400	404	400	0.2110	0.5074	3.1210	0.5709	1.3418	1.8400	Cnx		0.00	16/07/2009		No	
INTERNATIONAL COLOMBIA RESOURCES CORPORATION	CUESTECITAS  JEPIRACHI 1 110 kV	110.0	137.80	120	663	120	0.1197	0.4500	3.7172	0.4546	1.4238	2.1707	Str		0.00	17/11/2003		No	
INTERNATIONAL COLOMBIA RESOURCES CORPORATION	MINA INTERCOR  CUESTECITAS 1 110 kV	110.0	7.70	373	373	373	0.1226	0.4771	3.4990	0.4300	1.5260	2.2110	Str		0.00	01/01/2001		No	
INTERNATIONAL COLOMBIA RESOURCES CORPORATION	MINA INTERCOR  CUESTECITAS 2 110 kV	110.0	7.70	373	373	373	0.1226	0.4771	3.4990	0.4300	1.5260	2.2110	Str		0.00	01/01/2001		No	
INTERNATIONAL COLOMBIA RESOURCES CORPORATION	PUERTO BOLIVAR  CUESTECITAS 2 110 kV	110.0	142.00	462	462	462	0.1282	0.5092	3.4490	0.6460	2.1180	2.2720	Str		0.00	01/01/2001		No	
ISA INTERCOLOMBIA S.A. E.S.P.	ALFEREZ (EEB)  SAN BERNARDINO 1 230 kV	230.0	101.03	1003	1003	1303.9	0.0469	0.4690	3.5726	0.3786	1.3304	2.1836	Uso		0.00	24/01/2014		No	
ISA INTERCOLOMBIA S.A. E.S.P.	ALFEREZ (EEB)  YUMBO 1 230 kV	230.0	24.54	1003	1003	1303.9	0.0469	0.4690	3.5726	0.3786	1.3304	2.1836	Uso		0.00	24/01/2014		No	
ISA INTERCOLOMBIA S.A. E.S.P.	ANCON SUR (EPM)  HELICONIA 1 230 KV	230.0	21.27	805	805	1047	0.0446	0.4149	4.0988	0.2990	1.2018	2.5720	Uso		0.00	31/03/2020		No	
ISA INTERCOLOMBIA S.A. E.S.P.	ANCON SUR (EPM)  HELICONIA 2 230 KV	230.0	22.05	1000	1000	1300	0.0493	0.3565	7.9265	0.2828	0.9853	6.4981	Uso		0.00	31/03/2020		No	
ISA INTERCOLOMBIA S.A. E.S.P.	ANCON SUR (ISA)  ESMERALDA 1 230 kV	230.0	129.49	1000	1006	1307.8	0.0517	0.4847	3.4645	0.2674	1.1362	2.1919	Uso		0.00	21/11/1989		No	
ISA INTERCOLOMBIA S.A. E.S.P.	ANCON SUR (ISA)  ESMERALDA 2 230 kV	230.0	129.49	1000	1006	1307.8	0.0517	0.4847	3.4644	0.2674	1.1362	2.1919	Uso		0.00	21/11/1989		No	
ISA INTERCOLOMBIA S.A. E.S.P.	ANCON SUR (ISA)  SAN CARLOS 1 230 kV	230.0	107.04	971	971	1262.3	0.0536	0.4998	3.4209	0.2632	1.1175	2.1723	Uso		0.00	01/06/2006		No	
ISA INTERCOLOMBIA S.A. E.S.P.	ANCON SUR (ISA)  SAN CARLOS 2 230 kV	230.0	107.04	971	971	1262	0.0536	0.4998	3.4209	0.2632	1.1175	2.1723	Uso		0.00	01/01/1985		No	
ISA INTERCOLOMBIA S.A. E.S.P.	ANTIOQUIA  CERROMATOSO 1 500 kV	500.0	112.56	2400	2400	2500	0.0244	0.3187	5.1584	0.2773	1.0817	2.6603	Uso		0.00	09/03/2021		No	
ISA INTERCOLOMBIA S.A. E.S.P.	ANTIOQUIA  CERROMATOSO 2 500 kV	500.0	112.59	2400	2400	2500	0.0244	0.3188	5.1583	0.2773	1.0817	2.6602	Uso		0.00	09/03/2021		No	
ISA INTERCOLOMBIA S.A. E.S.P.	ANTIOQUIA  HELICONIA 1 500 KV	500.0	109.59	2400	2400	2500	0.0248	0.3222	5.1230	0.2735	1.0839	2.6389	Uso		0.00	09/03/2021		No	
ISA INTERCOLOMBIA S.A. E.S.P.	ANTIOQUIA  PORCE III 1 500 KV	500.0	112.80	2400	2400	2500	0.0244	0.3219	5.1280	0.2731	1.0836	2.6402	Uso		0.00	09/03/2021		No	
ISA INTERCOLOMBIA S.A. E.S.P.	BACATA  NOROESTE 1 230 kV	230.0	5.46	1489	1489	1936	0.0477	0.3691	4.4750	0.1909	0.9508	2.6277	Uso		0.00	14/12/2006		No	
ISA INTERCOLOMBIA S.A. E.S.P.	BACATA  NOROESTE 2 230 kV	230.0	5.70	1489	1489	1936	0.0477	0.3691	4.4750	0.1909	0.9508	2.6277	Uso		0.00	14/12/2006		No	
ISA INTERCOLOMBIA S.A. E.S.P.	BACATA  PRIMAVERA 1 500 kV	500.0	196.92	1905	1905	1905	0.0234	0.3310	4.8313	0.3841	0.9763	2.9396	Uso		0.00	29/12/2006		No	
ISA INTERCOLOMBIA S.A. E.S.P.	BACATA  TORCA 1 230 kV	230.0	19.88	1489	1489	1936	0.0482	0.3841	4.2900	0.2305	0.9706	2.5600	Uso		0.00	14/12/2006		No	
ISA INTERCOLOMBIA S.A. E.S.P.	BACATA  TORCA 2 230 kV	230.0	19.75	1489	1489	1936	0.0482	0.3841	4.2900	0.2305	0.9706	2.5600	Uso		0.00	14/12/2006		No	
ISA INTERCOLOMBIA S.A. E.S.P.	BALSILLAS  LA MESA 1 230 kV	230.0	27.61	1051	1051	1366	0.0496	0.5000	3.4239	0.2618	1.1025	2.2199	Uso		0.00	17/12/1992		No	
ISA INTERCOLOMBIA S.A. E.S.P.	BALSILLAS  NOROESTE 1 230 kV	230.0	13.90	1100	1100	1430	0.0524	0.5022	3.4095	0.2745	1.1024	2.2208	Uso		0.00	09/11/1997		No	
ISA INTERCOLOMBIA S.A. E.S.P.	BANADIA  CAÑO LIMON 1 230 kV	230.0	86.46	800	844	1097	0.0683	0.5305	3.2039	0.3016	1.0371	2.1978	Uso		0.00	01/01/1976		No	
ISA INTERCOLOMBIA S.A. E.S.P.	BANADIA  SAMORE 1 230 kV	230.0	51.20	800	846	1100	0.0683	0.5304	3.2045	0.3016	1.0374	2.1977	Uso		0.00	01/01/1980		No	
ISA INTERCOLOMBIA S.A. E.S.P.	BARRANCA  COMUNEROS 1 230 kV	230.0	10.91	809	809	1052	0.0724	0.5344	3.2164	0.4195	1.3440	2.1891	Uso		0.00	27/02/1997		No	
ISA INTERCOLOMBIA S.A. E.S.P.	BELEN (CUCUTA)  TASAJERO 1 230 kV	230.0	11.95	814	814	1058	0.0729	0.5368	3.2052	0.4278	1.3580	2.1902	Uso		0.00	01/01/1980		No	
ISA INTERCOLOMBIA S.A. E.S.P.	BETANIA  IBAGUE 1 230 kV	230.0	206.14	895	895	1164	0.0634	0.4826	3.4235	0.3536	1.1863	2.2058	Uso		0.00	01/01/1994		No	
ISA INTERCOLOMBIA S.A. E.S.P.	BETANIA  SAN BERNARDINO 1 230 kV	230.0	143.96	800	1340	1742	0.0330	0.4684	3.6191	0.3809	1.3354	2.1697	Uso		0.00	01/01/1989		No	
ISA INTERCOLOMBIA S.A. E.S.P.	BETANIA  SAN BERNARDINO 2 230 kV	230.0	143.96	800	1340	1742	0.0330	0.4684	3.6191	0.3809	1.3354	2.1697	Uso		0.00	01/01/1989		No	
ISA INTERCOLOMBIA S.A. E.S.P.	BETANIA  TULUNI 1 230 kV	230.0	158.09	895	895	1164	0.0670	0.4980	2.0080	0.2960	1.1840	0.8450	Uso		0.00	19/03/2017		No	
ISA INTERCOLOMBIA S.A. E.S.P.	BOLIVAR  CARTAGENA 1 220 kV	220.0	18.30	929	929	1028	0.0630	0.4910	3.3710	0.1840	1.0360	1.9150	Uso		0.00	17/02/2007		No	
ISA INTERCOLOMBIA S.A. E.S.P.	BOLIVAR  EL COPEY 1 500 kV	500.0	166.68	1905	2476	1905	0.0237	0.3342	4.9138	0.3940	0.9783	3.0213	Uso		0.00	31/03/2007		No	
ISA INTERCOLOMBIA S.A. E.S.P.	BOLIVAR  SABANALARGA 1 500 kV	500.0	66.56	2400	3120	2500	0.0239	0.3183	5.1626	0.2601	0.9215	2.8978	Uso		0.00	26/06/2023		No	
ISA INTERCOLOMBIA S.A. E.S.P.	BOLIVAR  SABANALARGA 2 220 kV	220.0	63.21	929	929	1028	0.0630	0.4980	3.3610	0.1910	1.0940	1.9145	Uso		0.00	17/02/2007		No	
ISA INTERCOLOMBIA S.A. E.S.P.	BUCARAMANGA  GUATIGUARA 1 230 kV	230.0	12.11	837	837	1088	0.0714	0.5123	3.2288	0.3937	1.3590	2.1842	Uso		0.00	01/01/1980		No	
ISA INTERCOLOMBIA S.A. E.S.P.	CARTAGO  LA VIRGINIA 1 230 kV	230.0	17.55	984	984	1279	0.0557	0.4945	3.4585	0.2472	1.1305	2.1893	Uso		0.00	27/12/1999		No	
ISA INTERCOLOMBIA S.A. E.S.P.	CARTAGO  LA VIRGINIA 2 230 kV	230.0	17.38	984	984	1279	0.0558	0.4930	3.4586	0.2698	1.1427	2.1962	Uso		0.00	30/11/2016		No	
ISA INTERCOLOMBIA S.A. E.S.P.	CARTAGO  SAN MARCOS (VALLE) 1 230 kV	230.0	146.72	984	984	1279	0.0557	0.4948	3.4606	0.2474	1.1312	2.1906	Uso		0.00	01/01/1995		No	
ISA INTERCOLOMBIA S.A. E.S.P.	CARTAGO  SAN MARCOS (VALLE) 2 230 kV	230.0	148.43	984	984	1279	0.0557	0.4943	3.4581	0.2715	1.1464	2.1902	Uso		0.00	30/11/2016		No	
ISA INTERCOLOMBIA S.A. E.S.P.	CASA DE MAQUINAS JAGUAS  JAGUAS 1 230 kV	230.0	0.74	1174	1174	1526	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	Cnx		0.00	01/01/1995		No	
ISA INTERCOLOMBIA S.A. E.S.P.	CASA DE MAQUINAS JAGUAS  JAGUAS 2 230 kV	230.0	0.74	1174	1174	1526	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	Cnx		0.00	05/05/1998		No	
ISA INTERCOLOMBIA S.A. E.S.P.	CASA MAQUINAS MIEL I  MIEL I 1 230 kV	230.0	0.46	998	998	1297.4	0.0543	0.5239	3.1591	0.3366	1.1684	2.1662	Cnx		0.00	01/12/2002		No	
ISA INTERCOLOMBIA S.A. E.S.P.	CASA MAQUINAS MIEL I  MIEL I 2 230 kV	230.0	0.48	998	998	1297.4	0.0540	0.4876	3.4129	0.3371	1.2415	2.0934	Cnx		0.00	30/05/2002		No	
ISA INTERCOLOMBIA S.A. E.S.P.	CASA MAQUINAS MIEL I  MIEL I 3 230 kV	230.0	0.48	998	998	1297.4	0.0540	0.4876	3.4129	0.3371	1.2415	2.0934	Cnx		0.00	30/05/2002		No	
ISA INTERCOLOMBIA S.A. E.S.P.	CASA MAQUINAS SAN CARLOS  SAN CARLOS 1 230 kV	230.0	2.49	1142	1142	1485	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	Cnx		0.00	05/05/1998		No	
ISA INTERCOLOMBIA S.A. E.S.P.	CASA MAQUINAS SAN CARLOS  SAN CARLOS 2 230 kV	230.0	2.49	1142	1142	1485	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	Cnx		0.00	08/05/1998		No	
ISA INTERCOLOMBIA S.A. E.S.P.	CASA MAQUINAS SAN CARLOS  SAN CARLOS 3 230 kV	230.0	2.48	1142	1142	1485	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	Cnx		0.00	01/01/1998		No	
ISA INTERCOLOMBIA S.A. E.S.P.	CASA MAQUINAS SAN CARLOS  SAN CARLOS 4 230 kV	230.0	2.48	1142	1142	1485	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	Cnx		0.00	01/01/1973		No	
ISA INTERCOLOMBIA S.A. E.S.P.	CERROMATOSO  CHINU 2 500 kV	500.0	132.26	2500	2856	3713	0.0229	0.3234	5.1011	0.2956	1.1025	3.3581	Uso		0.00	06/09/1999		No	
ISA INTERCOLOMBIA S.A. E.S.P.	CERROMATOSO  CHINU 3 500 kV	500.0	136.30	2400	2400	2500	0.0281	0.3116	5.2405	0.2182	1.0025	2.8588	Uso		0.00	30/07/2022		No	
