Date,PPPB,ENER,ENER_H,ENER_T,DISPO,DISPO_H,DISPO_T
2018-02-05,157.3422253994503,171736.0,155344.0,16392.0,0.8936877042592417,0.8705094560629346,0.9537790769058068
2018-02-06,146.41478551243205,169642.0,153250.0,16392.0,0.8891653934233197,0.8641560842043456,0.9538580068265612
2018-02-07,150.142735953924,170197.0,155413.0,14784.0,0.8669539081040125,0.8383571966842502,0.9397558609851155
2018-02-08,137.5958156299349,170343.0,156509.0,13834.0,0.8624480987277997,0.8375034389540795,0.9266008741927223
2018-02-09,135.53288292391036,171298.0,157330.0,13968.0,0.8608216642151143,0.8295406155428763,0.9397558609851155
2018-02-10,128.28758889196948,162306.0,148338.0,13968.0,0.8366435547113289,0.7925160883243023,0.9450330277868401
2018-02-11,130.11503361274526,147035.0,133067.0,13968.0,0.8202554185422538,0.7692965694190261,0.9441577832624412
2018-02-12,134.13349806179824,174827.0,159251.0,15576.0,0.8446325276984538,0.814817406490353,0.9194966654413695
2018-02-13,133.32491241754525,177370.0,161794.0,15576.0,0.8372130552326666,0.8239428954199113,0.8714387613996394
2018-02-14,134.67108276113436,176279.0,160703.0,15576.0,0.8238747363131381,0.8056992440281815,0.8687343555812285
2018-02-15,139.08351094673213,176523.0,160947.0,15576.0,0.833498173445459,0.8074354672790995,0.897773897670185
2018-02-16,137.74075708701736,175758.0,160182.0,15576.0,0.8515256164712763,0.8426060992093396,0.8754034728421642
2018-02-17,130.83406817841487,165614.0,150038.0,15576.0,0.8490173476306273,0.8391919654071124,0.8749722557720248
2018-02-18,127.33664613500346,149211.0,135243.0,13968.0,0.879621802899359,0.8689693474217989,0.9082128166080274
2018-02-19,151.04855900034352,174660.0,158268.0,16392.0,0.836833899526682,0.7903766103276276,0.9483611650825325
2018-02-20,151.53797286107417,177332.0,160940.0,16392.0,0.8487754414442693,0.8074303836078516,0.9483611650825325
2018-02-21,162.22597435344346,178948.0,162556.0,16392.0,0.8312736249638342,0.7829504132725685,0.9467162930278543
2018-02-22,155.70926714557777,178530.0,162138.0,16392.0,0.8651427593010258,0.8294706403033456,0.9517219800801694
2018-02-23,142.7126313531763,177124.0,160756.0,16368.0,0.8694535874648357,0.8365930132414684,0.9498315216439986
2018-02-24,143.63076519388437,166001.0,149633.0,16368.0,0.8896744174607234,0.8662876341192091,0.9481399989497453
2018-02-25,143.11400669119467,149353.0,132985.0,16368.0,0.8988814685219216,0.879430718532075,0.9481399989497453
2018-02-26,153.79029533378926,172549.0,156181.0,16368.0,0.8925208522494475,0.8702349553235009,0.948262203962423
2018-02-27,155.28865347266256,175053.0,158685.0,16368.0,0.8924624220819783,0.8677938960060286,0.9540325403910448
2018-02-28,159.08089371002131,175875.0,159507.0,16368.0,0.8800222173311232,0.8523802047822394,0.9484661905512086
2018-03-01,142.2840070949873,176013.0,159645.0,16368.0,0.8570670006926047,0.8182787885312377,0.9523521328922263
2018-03-02,159.55088790967787,176413.0,160045.0,16368.0,0.8697619559755231,0.8368473463236086,0.9523521328922263
2018-03-03,160.7977569767778,166134.0,149766.0,16368.0,0.8752240335268165,0.8439109580028947,0.9523410176967915
2018-03-04,175.2647964094239,149068.0,132748.0,16320.0,0.8739612493645567,0.8422788004928171,0.9519209158220868
2018-03-05,188.16866027248992,173878.0,157558.0,16320.0,0.8736918828528975,0.8485128766402316,0.9362307234504368
2018-03-06,191.11801140171946,177268.0,161692.0,15576.0,0.8559494384024782,0.8191936998361263,0.9454204519596002
2018-03-07,191.5082419764905,178311.0,162339.0,15972.0,0.8745705872090951,0.8446190835037859,0.9488862924259133
2018-03-08,180.84489093096434,177966.0,156678.0,21288.0,0.8585032997618522,0.8200854355809141,0.9521488161990505
2018-03-09,185.39522772013223,178177.0,161816.0,16361.0,0.8627658696954945,0.8265965718113419,0.9507426486257987
2018-03-10,188.69371928710666,163138.0,146801.0,16337.0,0.8616546250851674,0.8249795157952656,0.9501310867299091
2018-03-11,193.08444913600044,145926.0,126157.0,19769.0,0.8612366721894112,0.8246341251898901,0.9495994184769535
2018-03-12,207.09444186871676,169100.0,146393.0,22707.0,0.8781290962520355,0.8483369281926845,0.9509963114425467
2018-03-13,212.16910662186524,172539.0,149242.0,23297.0,0.8573958472067899,0.8187826907522243,0.9500288495396276
2018-03-14,214.95175980151967,173065.0,144848.0,28217.0,0.8532909815770017,0.8114880470926575,0.9537612245969648
2018-03-15,206.4275035139319,175712.0,147495.0,28217.0,0.8241507110658401,0.7754645606782301,0.9405280155437694
2018-03-16,199.2046419161656,175966.0,147989.0,27977.0,0.8459946449115808,0.8094049758844852,0.934856640235257
2018-03-17,188.6971759334926,163681.0,142428.0,21253.0,0.839666688996056,0.8065967915880291,0.9196868490608973
2018-03-18,182.62290348248197,144822.0,128489.0,16333.0,0.8634992427832769,0.8414775620862167,0.9182164924994312
2018-03-19,168.2445033602748,148470.0,132137.0,16333.0,0.852388858594655,0.8254747461130584,0.9182164924994312
2018-03-20,178.44180026401557,173361.0,157088.0,16273.0,0.8747821580248799,0.8450065156825739,0.9476960037809169
2018-03-21,179.36810783950196,175404.0,157533.0,17871.0,0.8641841706693276,0.8296155173448566,0.9480548407988937
2018-03-22,154.23458887178907,175765.0,163343.0,12422.0,0.8622482491776211,0.8340045984242533,0.9313295349122163
2018-03-23,143.5901008695003,174146.0,168060.0,6086.0,0.8652185275082426,0.8393573439980827,0.9289489576222234
2018-03-24,141.3058640796026,162658.0,148700.0,13958.0,0.8747914967181015,0.8590360534435757,0.9152932836212782
2018-03-25,153.3939818755588,143168.0,128418.0,14750.0,0.8464792396154253,0.8186316317665738,0.9141380034658405
2018-03-26,168.03402052352072,165705.0,149371.0,16334.0,0.8803215682493613,0.8614718702255775,0.9275398659174849
2018-03-27,175.31978403645758,166495.0,150160.0,16335.0,0.8823366391263908,0.8567292022407956,0.9453854434700415
2018-03-28,179.97512436609495,159811.0,144268.0,15543.0,0.8717476826997943,0.8620252538869416,0.8976513679567295
2018-03-29,167.76745304971348,137508.0,121965.0,15543.0,0.8864965574133469,0.8771087594739523,0.9117224176862889
2018-03-30,153.28655440152156,128551.0,115887.0,12664.0,0.8941239287531679,0.885838887941939,0.9168961951376298
2018-03-31,154.27188763529506,139011.0,123001.0,16010.0,0.8788556540770004,0.8633605017519571,0.9186540986189151
2018-04-01,144.38978532008832,135900.0,127008.0,8892.0,0.9002315707219206,0.8939067603184685,0.9186716028636944
2018-04-02,165.48029824434536,166633.0,151757.0,14876.0,0.8858570371049259,0.8730057809827612,0.9195316739309283
2018-04-03,168.07517630619148,169443.0,154709.0,14734.0,0.8665221578160642,0.8338400836610076,0.9466376873871135
2018-04-04,163.75512677700627,168359.0,155096.0,13263.0,0.8651554676287818,0.8297627394519812,0.9517394843249488
2018-04-05,155.88483098880846,166018.0,155206.0,10812.0,0.8663657228225773,0.8446309291492896,0.9209670220028356
2018-04-06,141.22340164095814,165574.0,160045.0,5529.0,0.8661307344349162,0.8472028452354616,0.9139565719687024
2018-04-07,126.4251908395841,155315.0,152950.0,2365.0,0.8702058173377615,0.852976362483931,0.9141117470986714
2018-04-08,106.23426419239733,139004.0,138284.0,720.0,0.8766717228367615,0.8585404639058772,0.9231439374048207
2018-04-09,118.31245016003348,162466.0,160522.0,1944.0,0.8842323402098257,0.8590615928715235,0.947582226189851
2018-04-10,132.72244410909443,166443.0,163756.0,2687.0,0.8501501942842102,0.849045943140102,0.8561488035848693
2018-04-11,136.56716635358194,167633.0,162577.0,5056.0,0.848758721020367,0.8551983627241473,0.8367193926363691
2018-04-12,127.79783183235399,166780.0,163220.0,3560.0,0.8490062669105586,0.8606080528179987,0.824672670622626
2018-04-13,140.32629087250916,168365.0,164516.0,3849.0,0.8543951466995178,0.8626763850927835,0.8378743720352185
2018-04-14,126.72721786943238,155475.0,152452.0,3023.0,0.8578940869902075,0.8675203592166266,0.8385196660190096
2018-04-15,107.88725675139344,138327.0,137614.0,713.0,0.8607506518213942,0.871618368907697,0.8385196660190096
2018-04-16,128.820047392662,160125.0,157102.0,3023.0,0.8580713020670819,0.867474568076558,0.8387320800294071
2018-04-17,124.44434227071623,162059.0,158956.0,3103.0,0.819153350493794,0.8083770876597041,0.8464952125890528
2018-04-18,136.445311442709,164607.0,159707.0,4900.0,0.8223294941317909,0.8106378393599232,0.8515889478198463
2018-04-19,136.50176239723677,166037.0,159995.0,6042.0,0.8180349437573211,0.8060691986291025,0.8482281328222094
2018-04-20,124.26740646865899,165869.0,162538.0,3331.0,0.8474831877932781,0.8482637352606051,0.8482281328222094
2018-04-21,112.70133789435451,154176.0,151767.0,2409.0,0.8596986497711073,0.8747733858920471,0.8272381802587128
2018-04-22,96.46084976655966,137080.0,136367.0,713.0,0.8662884344908988,0.8872581618246996,0.8200540457449893
2018-04-23,126.083924901054,163473.0,160296.0,3177.0,0.844196210124921,0.8661286728062476,0.7950852456720755
2018-04-24,134.0138463711991,167328.0,164356.0,2972.0,0.8347193166457922,0.8574820641456563,0.7837950077893889
2018-04-25,125.95176971173775,168874.0,165696.0,3178.0,0.8084101049080039,0.7968902389346008,0.8378131071784908
2018-04-26,116.99581875513208,169279.0,166562.0,2717.0,0.8404940488898323,0.837710401368263,0.8507824754837741
2018-04-27,115.66908932227676,168889.0,166018.0,2871.0,0.8398596178403188,0.8359822318482731,0.8526567067513872
2018-04-28,97.82236782612577,156826.0,156111.0,715.0,0.8479667550302841,0.8612424385149874,0.8197308892219439
2018-04-29,73.44190206268078,142436.0,141721.0,715.0,0.8469179108831077,0.859938134385697,0.8192474925169354
2018-04-30,97.85584375443878,164741.0,164026.0,715.0,0.8490980793196934,0.8502269932229113,0.8497159936284548
2018-05-01,84.02551524815793,143860.0,143145.0,715.0,0.8521322197702401,0.8412472922068914,0.8810024680985139
2018-05-02,93.22620811011762,167312.0,166597.0,715.0,0.8522669976531817,0.8415151073216829,0.880733515377479
2018-05-03,88.89345987971514,167519.0,166804.0,715.0,0.8602358014801796,0.8525490678196204,0.8816437361060057
2018-05-04,74.30942427089393,166759.0,166044.0,715.0,0.8585655418550648,0.8819894631722353,0.8089836160268865
2018-05-05,70.45710904600246,156709.0,155994.0,715.0,0.861766299675549,0.8853145501121059,0.8089725008314517
